code,name,market,pivot_date,prior_q1,prior_q2,rs_score,eps_yoy_q1_pct,eps_yoy_q2_pct,eps_accelerating,sales_yoy_q1_pct,per_at_pivot_approx,pbr_at_pivot_approx,psr_at_pivot_approx,market_cap_at_pivot_eok,largest_holder_pct,cfps_fy,share_dilution_1y_pct,market_regime_at_pivot,krw_at_pivot,foreign_foreign_pct_at_pivot,foreign_change_pp,pivot_vs_prior_52w_high_pct,pivot_volume_vs_50d_avg,base_len_days,base_depth_pct,prior_uptrend_pct,induty_code,sector_group_winner_count,years_since_establishment
043260,성호전자,KOSDAQ,2025-12-05,202509,202506,95,220.8,-83.8,True,24.1,N/A(적자),0.84,1.08,2106.4,55.23,355.0,16.26,상승추세,1472.4,2.32,0.84,102.2,0.53,1,0.0,219.0,26291,28,52
010170,대한광통신,KOSDAQ,2026-02-09,202509,202506,97,24.4,90.7,False,-1.4,N/A(적자),6.52,2.89,4223.5,18.1,-181.8,77.14,상승추세,1462.4,1.33,0.31,83.3,0.23,6,9.7,645.7,283,5,52
327260,RF머트리얼즈,KOSDAQ,2025-11-28,202509,202506,97,335.6,209.7,False,89.2,1485.7,3.32,3.03,1754.1,47.91,237.8,0.0,상승추세,1461.4,7.21,6.09,103.5,1.79,15,19.0,322.9,26299,28,18
030530,원익홀딩스,KOSDAQ,2025-08-01,202503,202412,94,121.2,-45.8,True,46.4,N/A(적자),0.43,0.63,4394.8,49.29,1315.0,0.0,중립,1391.5,3.82,-5.44,89.6,0.21,8,4.6,179.6,201,4,34
458870,씨어스,KOSDAQ,2025-08-18,202506,202503,98,144.2,80.8,True,799.5,N/A(적자),10.69,7.63,1410.1,28.47,-876.4,0.91,상승추세,1388.0,5.19,5.12,96.3,0.32,7,4.7,285.2,27199,3,16
108490,로보티즈,KOSDAQ,2025-08-01,202503,202412,99,142.3,481.2,False,22.6,1474.4,3.56,31.95,10201.2,26.0,405.3,1.28,중립,1391.5,2.45,1.99,85.3,0.37,11,5.6,367.1,29299,30,26
032820,우리기술,KOSDAQ,2025-12-16,202509,202506,86,-5145.5,2346.2,False,24.2,46.1,4.97,7.09,6253.4,8.86,23.6,3.65,상승추세,1467.5,3.47,2.02,71.6,0.36,22,11.0,157.6,281,8,30
347700,스피어,KOSDAQ,2025-12-04,202509,202506,95,-153.8,15350.0,False,7.6,40.0,4.93,5.81,3392.7,47.44,-124.8,127.4,상승추세,1465.0,1.17,0.77,51.7,3.22,9,10.7,148.4,58222,6,13
226950,올릭스,KOSDAQ,2025-01-22,202409,202406,56,-79.5,10.5,False,-87.0,N/A(적자),2.08,16.01,2584.3,20.92,-1146.7,12.14,None,1425.8,1.47,-1.87,44.9,0.34,24,38.8,None,70113,11,15
100790,미래에셋벤처투자,KOSDAQ,2026-01-22,202509,202506,94,356.6,2.7,True,983.8,164.5,1.73,4.17,6555.6,68.89,2433.0,0.0,상승추세,1464.8,2.11,1.22,55.6,0.24,19,20.6,270.7,649,9,27
124500,아이티센글로벌,KOSDAQ,2025-12-10,202509,202506,98,321.0,950.0,False,34.4,26.5,4.76,0.1,5975.2,25.28,1139.6,0.0,상승추세,1467.9,3.28,1.46,79.2,5.51,18,10.1,361.6,62021,1,20
319400,현대무벡스,KOSDAQ,2025-12-08,202509,202506,98,20.8,865.0,False,23.2,46.9,7.49,3.02,12184.5,60.2,494.8,-5.41,상승추세,1471.8,1.15,0.72,85.5,3.79,2,3.3,274.8,291,8,6
466100,클로봇,KOSDAQ,2024-12-09,202409,202406,2,None,None,False,None,N/A(이력부족),2.36,None,1399.6,None,None,None,None,1424.2,1.34,1.26,56.6,0.23,19,29.3,None,58221,6,7
007810,코리아써키트,KOSPI,2025-11-04,202506,202503,92,229.4,111.7,True,-11.7,N/A(적자),1.25,0.35,4747.8,53.33,4213.7,0.0,상승추세,1429.0,5.65,3.86,97.3,0.81,1,0.0,158.0,2622,28,53
402340,SK스퀘어,KOSPI,2025-04-09,202412,202409,78,203.4,157.0,False,-23.4,2.7,0.36,5.23,99670.7,31.53,1433.2,-1.64,하락추세,1486.1,51.84,2.88,70.5,1.08,12,22.8,33.6,64992,9,4
090710,휴림로봇,KOSDAQ,2025-12-15,202509,202506,98,21.1,131.4,False,74.1,67.5,5.88,3.56,7501.9,7.11,-257.9,8.97,상승추세,1472.9,4.83,2.65,85.1,1.82,24,19.6,342.6,29280,30,27
