code,name,market,pivot_date,prior_q1,prior_q2,rs_score,eps_yoy_q1_pct,eps_yoy_q2_pct,eps_accelerating,sales_yoy_q1_pct,per_at_pivot_approx,pbr_at_pivot_approx,psr_at_pivot_approx,market_cap_at_pivot_eok,largest_holder_pct,cfps_fy,share_dilution_1y_pct,market_regime_at_pivot,krw_at_pivot,foreign_foreign_pct_at_pivot,foreign_change_pp,pivot_vs_prior_52w_high_pct,pivot_volume_vs_50d_avg,base_len_days,base_depth_pct,prior_uptrend_pct,induty_code,sector_group_winner_count,years_since_establishment
033170,시그네틱스,KOSDAQ,2020-10-29,202006,202003,8,-121.2,15.3,False,-23.0,N/A(적자),1.15,0.3,601.0,42.42,152.1,0.0,중립,1134.2,2.52,-1.94,57.7,0.68,10,18.8,111.0,2612,None,54
044780,에이치케이,KOSDAQ,2020-03-23,201912,201909,51,-73.3,-700.0,False,5.3,17.9,0.23,0.27,149.2,22.15,226.6,0.0,하락추세,1253.9,3.38,0.61,39.5,1.83,24,43.6,None,29221,None,30
122990,와이솔,KOSDAQ,2020-03-19,201912,201909,39,-175.2,9.9,False,-87.3,6.2,0.68,0.57,2101.6,33.92,1743.9,16.62,하락추세,1255.3,7.33,-8.27,37.1,2.63,22,40.3,None,2629,None,12
056190,에스에프에이,KOSDAQ,2020-11-18,202009,202006,24,0.0,11.6,False,-6.8,10.1,1.16,0.8,13429.9,41.5,214.3,0.0,상승추세,1104.9,19.58,-2.52,79.4,0.44,20,9.8,46.4,292,None,22
004870,티웨이홀딩스,KOSPI,2020-03-19,201912,201909,3,-49.1,-728.6,False,7.2,N/A(적자),0.68,0.05,431.7,60.81,1642.1,1.65,하락추세,1255.3,2.19,-3.48,23.8,1.89,24,46.5,None,23325,None,54
032980,바이온,KOSDAQ,2020-07-30,202003,201912,40,58.5,-12.8,True,26.9,N/A(적자),3.77,5.86,1237.1,9.08,-43.2,24.34,상승추세,1190.7,2.76,0.35,60.1,1.43,6,3.2,31.0,463,None,37
014470,부방,KOSDAQ,2020-03-19,201912,201909,28,-1608.3,-152.2,False,-1.9,N/A(적자),0.38,0.22,726.6,48.58,146.5,26.98,하락추세,1255.3,0.91,-0.72,29.6,0.68,22,44.9,None,681,None,41
024070,WISCOM,KOSPI,2020-10-29,202006,202003,31,-193.6,-8.3,False,-29.2,N/A(적자),0.4,0.34,356.3,50.95,251.6,0.0,중립,1134.2,3.5,-1.43,83.6,0.54,5,0.6,42.3,22299,None,42
028670,팬오션,KOSPI,2020-10-05,202006,202003,23,12.9,-29.3,False,8.1,13.8,0.36,0.8,20420.5,54.9,757.2,0.0,상승추세,1165.4,11.61,0.96,81.0,6.51,24,6.4,63.3,50112,None,54
000050,경방,KOSPI,2020-03-23,201912,201909,70,931.9,-118.6,False,-2.5,4.2,0.22,0.55,1877.9,58.61,2439.3,0.0,하락추세,1253.9,1.79,-0.27,60.1,1.22,11,23.9,None,47119,None,101
