code,name,market,pivot_date,prior_q1,prior_q2,rs_score,eps_yoy_q1_pct,eps_yoy_q2_pct,eps_accelerating,sales_yoy_q1_pct,per_at_pivot_approx,pbr_at_pivot_approx,psr_at_pivot_approx,market_cap_at_pivot_eok,largest_holder_pct,cfps_fy,share_dilution_1y_pct,market_regime_at_pivot,krw_at_pivot,foreign_foreign_pct_at_pivot,foreign_change_pp,pivot_vs_prior_52w_high_pct,pivot_volume_vs_50d_avg,base_len_days,base_depth_pct,prior_uptrend_pct,induty_code,sector_group_winner_count,years_since_establishment
322510,제이엘케이,KOSDAQ,2020-04-28,201912,201909,12,None,None,False,None,N/A(이력부족),3.33,None,811.9,25.76,-429.1,None,중립,1220.9,0.35,-0.14,72.3,1.1,9,4.7,61.1,582,None,6
192080,더블유게임즈,KOSPI,2020-03-23,201912,201909,68,31.4,28.8,True,0.9,4.7,0.5,1.1,5662.3,43.51,9002.3,0.03,하락추세,1253.9,12.62,-0.42,48.0,1.06,24,19.0,None,5821,None,8
088290,이원컴포텍,KOSDAQ,2020-08-07,202003,201912,95,0.0,337.8,False,-33.0,181.2,121.34,11.3,4943.9,33.2,186.3,19.65,상승추세,1183.2,17.62,16.26,30.9,1.54,24,20.5,None,303,None,26
047810,한국항공우주,KOSPI,2020-11-09,202006,202003,4,-54.6,85.3,False,-10.5,14.3,1.22,0.7,22419.3,26.41,3637.2,0.0,상승추세,1121.2,14.33,-7.4,59.1,0.85,11,4.8,40.1,31311,None,21
003070,코오롱글로벌,KOSPI,2020-06-29,202003,201912,44,40.6,-85.5,False,-0.3,6.9,0.41,0.08,2844.6,76.68,5806.9,0.0,중립,1202.6,2.33,-0.55,77.9,0.19,20,11.4,78.1,41221,None,60
221840,하이즈항공,KOSDAQ,2020-09-18,202006,202003,17,-190.9,-62.4,False,-48.7,61.9,1.65,1.02,645.9,45.7,382.2,0.0,상승추세,1168.7,0.3,0.0,56.8,0.97,24,7.8,36.4,313,None,19
060310,3S,KOSDAQ,2020-03-23,201912,201909,59,154.2,-70.4,False,116.1,41.5,1.47,1.72,613.8,8.06,63.7,0.07,하락추세,1253.9,2.28,0.15,36.1,1.62,24,50.9,None,272,None,29
258790,소프트캠프,,,,,None,,,,,,,,,,,,,,,,,,,,,,None,
189690,포시에스,KOSDAQ,2020-03-19,201912,201909,79,-76.6,47.8,False,18.4,2.2,0.4,0.47,95.1,51.45,385.7,4.83,하락추세,1255.3,0.75,-0.78,57.8,1.21,21,28.9,None,58222,None,12
002450,삼익악기,KOSPI,2020-03-23,201912,201909,49,-983.3,-45.1,False,3.5,6.1,0.27,0.34,896.3,38.81,60.5,0.0,하락추세,1253.9,3.31,0.84,43.6,1.39,24,45.4,None,33201,None,47
060850,영림원소프트랩,KOSDAQ,2021-06-24,202103,202012,12,-150.2,None,False,-23.4,24.4,1.76,2.33,963.5,20.02,344.6,None,상승추세,1132.6,8.93,8.71,63.4,0.86,19,5.5,None,58221,None,28
006280,녹십자,KOSPI,2020-10-06,202006,202003,89,222.8,-184.2,True,1.1,441.0,2.14,1.92,26645.3,52.82,3447.7,0.0,상승추세,1156.1,17.97,-1.55,75.6,0.35,16,17.6,135.2,212,None,51
079550,LIG디펜스앤에어로스페이스,KOSPI,2020-03-19,201912,201909,32,-441.0,693.9,False,3.7,110.3,0.25,0.24,3542.0,47.02,6863.9,0.0,하락추세,1255.3,5.07,-2.91,40.0,2.99,23,30.7,None,25200,None,22
057030,YBM넷,KOSDAQ,2020-03-19,201912,201909,83,-500.0,240.0,False,-2.7,32.7,1.11,0.98,587.3,59.89,482.3,0.0,하락추세,1255.3,3.81,1.21,56.2,1.68,2,14.7,None,857,None,20
006740,블루산업개발,KOSPI,2020-11-17,202009,202006,76,-62.1,-13.7,False,-0.8,41.8,13.81,4.9,4615.9,54.44,326.3,0.0,상승추세,1106.1,0.73,-0.13,98.9,1.54,0,0.0,92.4,172,None,50
043910,자연과환경,KOSDAQ,2020-11-23,202009,202006,70,-1800.0,-327.3,False,-6.1,N/A(적자),19.93,27.05,7733.2,6.27,22.0,0.0,상승추세,1113.8,2.43,0.96,79.1,1.74,7,2.8,19.2,233,None,21
005090,SGC에너지,KOSPI,2020-06-25,202003,201912,38,4082.4,-1195.2,False,49.2,44.1,0.59,0.42,1393.2,45.38,1259.1,0.0,중립,1205.2,1.72,-0.59,72.5,0.52,4,6.4,31.6,351,None,53
079940,가비아,KOSDAQ,2020-03-19,201912,201909,89,57.2,150.0,False,23.1,8.3,0.5,0.63,929.9,24.89,2729.9,0.0,하락추세,1255.3,15.59,-1.87,62.7,2.1,20,23.7,None,58221,None,21
