code,name,market,pivot_date,prior_q1,prior_q2,rs_score,eps_yoy_q1_pct,eps_yoy_q2_pct,eps_accelerating,sales_yoy_q1_pct,per_at_pivot_approx,pbr_at_pivot_approx,psr_at_pivot_approx,market_cap_at_pivot_eok,largest_holder_pct,cfps_fy,share_dilution_1y_pct,market_regime_at_pivot,krw_at_pivot,foreign_foreign_pct_at_pivot,foreign_change_pp,pivot_vs_prior_52w_high_pct,pivot_volume_vs_50d_avg,base_len_days,base_depth_pct,prior_uptrend_pct,induty_code,sector_group_winner_count,years_since_establishment
275630,에스에스알,KOSDAQ,2020-03-19,201912,201909,4,-49.1,147.1,False,-22.9,14.8,0.58,1.22,158.2,61.0,425.8,0.0,하락추세,1255.3,1.42,1.24,22.2,0.45,23,52.7,None,582,None,10
028260,삼성물산,KOSPI,2020-03-23,201912,201909,75,-49.9,-12.2,False,-3.4,11.9,0.25,0.47,144702.0,32.94,4029.2,0.0,하락추세,1253.9,14.52,0.51,62.3,1.17,24,35.0,None,467,None,57
077500,유니퀘스트,KOSPI,2020-03-24,201912,201909,54,165.5,-10.8,False,23.9,4.9,0.41,0.38,1280.3,46.16,-893.8,0.17,하락추세,1262.9,47.65,-1.14,49.6,1.3,23,47.5,None,4659,None,25
108230,톱텍,KOSDAQ,2020-03-31,201912,201909,90,47.6,-31.2,True,27.8,123.7,1.16,2.79,4657.8,43.15,-439.7,3.33,하락추세,1222.7,5.63,-0.85,99.6,2.29,24,23.7,None,292,None,24
052790,액토즈소프트,KOSDAQ,2020-04-20,201912,201909,16,156.8,1442.9,False,83.4,4.0,0.35,1.32,940.4,51.1,1391.0,0.0,중립,1215.3,51.9,1.3,51.4,0.73,4,2.2,103.1,5821,None,24
011810,STX,KOSPI,2021-02-01,202009,202006,11,-405.3,99.2,False,-42.2,35.4,-1.94,0.12,1416.5,78.87,26.8,0.0,상승추세,1117.4,0.16,0.04,77.9,1.02,2,0.2,34.6,46800,None,45
013000,세우글로벌,KOSPI,2020-07-08,202003,201912,61,88.9,11.8,True,12.2,66.4,0.98,1.9,534.0,34.85,188.7,0.0,상승추세,1195.7,1.23,0.78,80.2,0.43,20,15.3,83.4,467,None,42
143240,사람인,KOSDAQ,2020-04-16,201912,201909,87,35.4,37.3,False,18.7,11.0,1.0,3.17,2961.5,47.78,2509.5,0.21,하락추세,1222.6,24.39,8.18,79.5,1.39,14,10.6,31.2,63120,None,15
280360,롯데웰푸드,KOSPI,2020-11-16,202009,202006,8,4.3,20.2,False,2.9,19.0,0.4,0.31,6416.7,79.1,29771.7,0.0,상승추세,1107.8,16.81,-0.36,66.2,1.41,1,0.0,11.0,108,None,3
225190,LK삼양,KOSDAQ,2020-03-23,201912,201909,57,41.7,33.7,True,16.0,1.1,3.18,0.24,151.3,68.14,1173.4,0.51,하락추세,1253.9,0.95,-1.35,46.9,0.99,24,31.1,None,273,None,7
318410,비비씨,KOSDAQ,2020-12-07,202009,202006,5,-9.9,None,False,31.4,N/A(이력부족),1.25,None,978.1,37.75,None,None,상승추세,1083.8,0.2,-0.24,81.2,0.4,19,9.9,None,204,None,12
051900,LG생활건강,KOSPI,2020-04-01,201912,201909,64,32.4,4.6,False,18.5,23.1,3.29,2.47,189758.6,34.03,64321.5,0.0,하락추세,1216.7,43.41,-2.18,73.7,1.11,18,17.0,None,20422,None,19
030350,드래곤플라이,KOSDAQ,2020-03-19,201912,201909,19,1.9,51.9,False,-43.1,N/A(적자),2.81,2.63,160.0,40.83,-98.6,0.0,하락추세,1255.3,3.34,2.68,19.1,1.95,24,51.7,None,5821,None,30
000815,삼성화재우,KOSPI,2020-03-19,201912,201909,35,None,None,False,None,N/A(이력부족),0.17,None,43538.0,18.51,None,0.0,하락추세,1255.3,19.82,-17.13,41.7,3.48,24,33.2,None,65121,None,68
069640,한세엠케이,KOSPI,2021-03-08,202012,202009,22,59.3,53.7,True,-25.9,N/A(적자),7.05,0.37,811.4,51.82,493.7,0.0,중립,1127.5,0.9,-1.05,87.0,0.21,3,1.8,77.4,4741,None,26
017940,E1,KOSPI,2020-03-23,201912,201909,11,185.6,-418.3,False,7.9,N/A(적자),0.06,0.03,1536.6,45.33,7972.8,0.0,하락추세,1253.9,4.8,-0.9,33.6,5.88,24,39.8,None,46713,None,36
004255,NPC우,KOSPI,2020-03-23,201912,201909,79,25.9,-11.4,False,5.5,4.6,0.13,0.15,661.5,59.72,959.3,0.0,하락추세,1253.9,5.96,-0.92,66.7,1.32,22,27.9,None,22232,None,55
256630,포인트엔지니어링,KOSDAQ,2020-03-19,201912,201909,52,None,-126.3,False,None,N/A(적자),6.73,9.49,4427.2,57.31,139.3,703.11,하락추세,1255.3,3.9,3.9,40.8,0.71,15,47.5,None,25923,None,4
