code,name,market,pivot_date,prior_q1,prior_q2,rs_score,eps_yoy_q1_pct,eps_yoy_q2_pct,eps_accelerating,sales_yoy_q1_pct,per_at_pivot_approx,pbr_at_pivot_approx,psr_at_pivot_approx,market_cap_at_pivot_eok,largest_holder_pct,cfps_fy,share_dilution_1y_pct,market_regime_at_pivot,krw_at_pivot,foreign_foreign_pct_at_pivot,foreign_change_pp,pivot_vs_prior_52w_high_pct,pivot_volume_vs_50d_avg,base_len_days,base_depth_pct,prior_uptrend_pct,induty_code,sector_group_winner_count,years_since_establishment
002170,SYTS,KOSPI,2020-03-23,201912,201909,85,92.6,88.7,True,-2.8,2.5,0.22,0.58,1113.0,52.85,17393.0,0.0,하락추세,1253.9,6.54,1.23,49.9,0.91,18,33.0,None,15110,None,63
215000,골프존,KOSDAQ,2020-10-21,202006,202003,63,14.4,6.1,True,18.9,26.4,1.04,1.76,4763.0,53.53,6294.7,0.0,중립,1136.0,8.89,0.3,96.1,6.41,7,2.7,130.8,58219,None,5
299900,위지윅스튜디오,KOSDAQ,2020-10-30,202006,202003,16,-116.9,-144.3,False,164.9,10.0,1.37,0.49,320.8,32.31,12.9,239.67,중립,1129.5,1.7,1.26,65.9,0.2,13,9.4,78.9,59120,None,4
025000,KPX케미칼,KOSPI,2021-01-29,202009,202006,27,-4.8,187.0,False,-1.7,5.1,0.37,0.39,2796.4,51.06,13534.4,0.0,상승추세,1112.3,29.8,1.92,87.4,1.26,22,5.7,54.5,20119,None,47
182400,엔케이젠바이오텍코리아,KOSDAQ,2020-03-19,201912,201909,24,-80.2,6.5,False,57.5,N/A(적자),30.35,10.92,955.3,19.64,-573.9,28.11,하락추세,1255.3,9.02,0.08,39.3,2.59,21,35.5,None,211,None,18
003470,유안타증권,KOSPI,2020-03-19,201912,201909,28,None,None,False,None,N/A(이력부족),0.15,None,2868.9,55.44,None,0.0,하락추세,1255.3,62.66,1.49,38.6,4.64,24,39.2,None,66121,None,58
010100,한국무브넥스,KOSPI,2020-03-19,201912,201909,63,-93.8,220.0,False,245.0,2.7,0.08,0.03,304.5,42.09,1766.6,0.0,하락추세,1255.3,6.24,3.4,33.5,1.67,22,47.7,None,303,None,46
222800,심텍,KOSDAQ,2020-05-12,201912,201909,93,100.3,-162.8,True,17.0,N/A(적자),0.64,0.22,2241.2,44.96,-1390.0,-4.35,중립,1222.4,3.41,-4.05,67.7,0.5,1,0.0,73.5,2622,None,5
005110,한창,KOSPI,2020-03-23,201912,201909,37,21.4,-149.2,False,36.4,N/A(적자),5.95,2.45,1694.1,6.64,292.0,0.0,하락추세,1253.9,3.32,0.0,30.2,0.48,24,56.3,None,465,None,53
003720,삼영,KOSPI,2020-07-13,202003,201912,59,112.0,73.7,False,13.0,N/A(적자),0.46,0.35,406.3,22.23,157.4,0.0,상승추세,1199.5,2.01,0.33,83.3,0.27,24,12.7,82.0,2221,None,61
003220,대원제약,KOSPI,2020-04-28,201912,201909,65,20.9,25.6,False,8.8,9.6,1.09,0.86,2742.2,38.65,1529.9,2.95,하락추세,1220.9,26.05,0.77,83.1,0.43,7,5.3,49.3,212,None,59
136540,윈스테크넷,KOSDAQ,2020-03-19,201912,201909,81,17.3,43.1,False,26.8,7.5,0.58,1.48,1211.5,37.76,1415.3,0.43,하락추세,1255.3,5.12,-0.38,56.2,1.22,24,36.6,None,62021,None,9
043340,에쎈테크,KOSDAQ,2021-03-04,202012,202009,48,57.1,-500.0,False,4.0,N/A(적자),8.64,3.4,1699.2,69.56,23.0,0.0,중립,1129.5,0.7,-0.38,69.6,0.25,10,6.6,18.6,29133,None,28
133750,메가엠디,KOSDAQ,2021-01-26,202009,202006,36,80.0,79.2,False,6.8,21.4,1.25,1.08,881.3,46.66,414.0,1.34,상승추세,1101.7,1.53,-4.91,65.6,0.09,23,18.4,79.6,85503,None,17
123330,제닉,KOSDAQ,2020-11-25,202009,202006,8,-55.3,-292.3,False,-29.0,N/A(적자),0.73,0.6,268.1,25.49,196.7,0.0,상승추세,1109.7,1.22,-1.67,69.0,1.55,19,7.6,83.3,204,None,19
009580,무림P&P,KOSPI,2020-11-26,202009,202006,10,-450.0,-12.5,False,-24.5,N/A(적자),0.35,0.38,2086.2,66.97,837.4,0.0,상승추세,1104.5,3.68,-4.55,76.0,0.89,1,0.0,41.5,171,None,46
056700,신화인터텍,KOSDAQ,2020-03-19,201912,201909,85,-276.7,550.0,False,15.9,4.3,0.41,0.16,406.4,15.31,1161.5,0.0,하락추세,1255.3,8.37,1.18,20.9,1.61,22,43.1,None,2229,None,32
009070,KCTC,KOSPI,2020-12-04,202009,202006,69,24.1,101.9,False,9.5,13.8,0.37,0.25,1171.5,23.32,1034.0,0.0,상승추세,1091.3,0.52,-1.76,97.1,0.27,13,8.2,139.9,49301,None,47
211050,인카금융서비스,KOSDAQ,2020-08-25,202006,202003,75,None,None,False,None,N/A(이력부족),0.18,None,380.8,None,None,None,상승추세,1188.2,0.0,0.0,102.6,0.17,16,29.0,111.5,66202,None,13
003495,대한항공우,KOSPI,2020-07-30,202003,201912,68,-521.6,159.5,False,-22.5,N/A(적자),0.64,0.28,33486.2,33.35,13310.9,82.71,상승추세,1190.7,2.81,0.63,67.5,0.34,6,4.5,88.0,511,None,58
123010,알엔티엑스,KOSDAQ,2020-03-23,201912,201909,53,-138.3,-36.3,False,-40.7,N/A(적자),2.85,2.95,160.7,24.64,-494.4,32.7,하락추세,1253.9,1.1,0.56,21.2,1.14,24,44.4,None,262,None,17
092040,아미코젠,KOSDAQ,2020-04-13,201912,201909,44,-47.2,-6100.0,False,121.6,2230.0,6.55,1.86,2141.6,16.37,456.1,0.08,하락추세,1211.0,7.22,-1.0,67.1,13.55,23,45.2,None,108,None,20
058860,KTis,KOSPI,2020-03-23,201912,201909,35,-16.7,-15.6,False,-6.9,4.7,0.16,0.1,442.0,29.34,1052.6,0.0,하락추세,1253.9,5.33,-0.8,45.6,1.24,24,43.8,None,63991,None,19
201490,미투온,KOSDAQ,2020-03-19,201912,201909,58,-29.6,41.8,False,32.6,9.6,0.74,0.9,1067.5,24.18,1526.9,0.0,하락추세,1255.3,3.54,-1.8,38.9,3.58,9,33.0,None,5821,None,10
241820,피씨엘,KOSDAQ,2020-12-21,202009,202006,98,766.2,803.0,False,2593148.2,5.3,3.73,2.1,960.5,36.39,-508.0,5.78,상승추세,1099.0,0.28,-0.76,78.6,2.58,4,3.2,124.8,213,None,12
070960,모나용평,KOSPI,2020-03-23,201912,201909,11,50.8,-172.2,True,20.2,N/A(적자),0.32,0.91,1179.3,45.79,490.3,0.0,하락추세,1253.9,2.6,0.88,29.9,2.63,24,52.9,None,55103,None,20
047040,대우건설,KOSPI,2020-10-21,202006,202003,8,-36.6,10.2,False,-12.0,6.8,0.37,0.15,12634.9,50.76,-745.3,0.0,상승추세,1136.0,9.3,-4.2,62.9,0.84,22,10.0,30.8,41112,None,20
000400,롯데손해보험,KOSPI,2020-03-23,201912,201909,12,None,None,False,None,N/A(이력부족),0.51,None,3118.9,82.04,None,131.11,하락추세,1253.9,1.68,-8.68,34.0,1.4,24,40.7,None,65121,None,74
210980,SK디앤디,KOSPI,2020-06-12,202003,201912,58,391.9,526.0,False,86.1,8.0,0.88,1.31,6531.3,29.37,11456.8,27.38,중립,1204.8,5.03,0.33,88.2,1.04,1,0.0,30.3,68122,None,16
072870,메가스터디,KOSDAQ,2020-03-23,201912,201909,63,-114.4,43.4,False,7.8,6.5,0.24,0.59,829.7,32.13,1393.4,0.0,하락추세,1253.9,32.67,-0.99,49.9,0.23,20,42.2,None,581,None,20
