code,name,market,pivot_date,prior_q1,prior_q2,rs_score,eps_yoy_q1_pct,eps_yoy_q2_pct,eps_accelerating,sales_yoy_q1_pct,per_at_pivot_approx,pbr_at_pivot_approx,psr_at_pivot_approx,market_cap_at_pivot_eok,largest_holder_pct,cfps_fy,share_dilution_1y_pct,market_regime_at_pivot,krw_at_pivot,foreign_foreign_pct_at_pivot,foreign_change_pp,pivot_vs_prior_52w_high_pct,pivot_volume_vs_50d_avg,base_len_days,base_depth_pct,prior_uptrend_pct,induty_code,sector_group_winner_count,years_since_establishment
092730,네오팜,KOSDAQ,2020-03-19,201912,201909,14,15.8,33.0,False,18.9,7.8,1.62,1.99,1657.9,38.93,2342.3,10.0,하락추세,1255.3,17.65,-0.91,32.3,2.68,24,37.1,None,20423,None,20
026940,부국철강,KOSPI,2020-03-23,201912,201909,75,-121.1,180.0,False,-5.9,21.8,0.29,0.3,402.0,53.44,229.0,0.0,하락추세,1253.9,5.24,1.34,35.3,1.56,24,58.2,None,2413,None,44
247540,에코프로비엠,KOSDAQ,2020-03-19,201912,201909,83,-95.4,-38.8,False,-19.6,7.4,0.77,0.45,2790.5,54.47,622.7,2.69,하락추세,1255.3,4.96,4.08,59.3,2.17,19,29.3,None,28202,None,4
006345,대원전선우,KOSPI,2021-04-16,202012,202009,10,138.5,-97.7,False,-8.7,83.6,1.76,0.54,1973.5,32.76,110.7,4.11,상승추세,1115.7,2.53,1.61,52.4,2.59,23,4.0,78.2,28302,None,52
223250,드림씨아이에스,KOSDAQ,2021-03-10,202012,202009,1,None,-1.2,False,None,3.4,1.15,0.88,207.1,63.44,611.2,None,중립,1134.9,6.19,4.48,45.6,0.48,20,17.3,None,70113,None,21
246250,에스엘에스바이오,KOSDAQ,2020-05-13,201912,201909,78,None,None,False,None,N/A(이력부족),6.8,None,529.2,27.91,130.0,None,중립,1225.7,0.0,-0.02,82.1,4.12,12,12.9,20.6,739,None,13
031330,에스에이엠티,KOSDAQ,2020-04-20,201912,201909,86,30.6,52.9,False,-17.4,6.3,0.4,0.16,1979.9,50.02,458.4,0.0,중립,1215.3,6.16,1.44,75.3,0.77,7,6.6,34.1,4659,None,30
025890,한국주강,KOSPI,2020-11-24,202009,202006,23,78.0,88.4,False,-13.7,N/A(적자),0.54,0.51,180.9,56.98,27.2,0.0,상승추세,1113.1,2.07,0.82,77.5,0.35,0,0.0,74.7,292,None,33
317330,덕산테코피아,KOSDAQ,2020-03-23,201912,201909,30,None,-62.7,False,None,11.3,1.42,2.38,1470.2,58.11,709.9,None,하락추세,1253.9,1.94,1.11,36.4,1.31,24,59.5,None,2049,None,14
012340,뉴인텍,KOSDAQ,2020-10-26,202006,202003,83,300.0,164.3,True,-5.5,N/A(적자),8.83,6.85,3748.1,21.01,39.7,66.5,중립,1127.8,1.47,0.59,74.8,0.24,22,20.5,113.4,303,None,43
078350,한양디지텍,KOSDAQ,2020-03-19,201912,201909,86,-835.0,-81.4,False,-13.2,N/A(적자),0.23,0.4,273.5,55.57,-969.8,0.0,하락추세,1255.3,1.22,-1.72,45.3,3.45,22,39.2,None,2611,None,16
044480,빌리언스,KOSDAQ,2021-03-09,202012,202009,1,-515.9,-70.1,False,-79.8,N/A(적자),7.04,7.05,2153.7,14.96,-236.7,49.09,중립,1140.2,0.57,0.41,32.4,0.42,19,25.6,None,901,None,48
067000,조이시티,KOSDAQ,2020-03-23,201912,201909,69,163.4,174.9,False,26.2,N/A(적자),1.22,0.2,210.4,27.8,199.2,18.54,하락추세,1253.9,0.97,-0.02,52.2,2.2,12,37.1,None,5821,None,26
