"# source=Yahoo Finance chart API v8 symbol=SPY collected=2026-09-12 basis=close(price),adjclose(total return incl. dividends)"
date,close,adjclose
1993-01-29,43.9375,24.11325454711914
1993-02-01,44.25,24.28476905822754
1993-02-02,44.34375,24.33621597290039
1993-02-03,44.8125,24.593461990356445
1993-02-04,45.0,24.696365356445312
1993-02-05,44.96875,24.67921257019043
1993-02-08,44.96875,24.67921257019043
1993-02-09,44.65625,24.507726669311523
1993-02-10,44.71875,24.542007446289062
1993-02-11,44.9375,24.66208267211914
1993-02-12,44.59375,24.473421096801758
1993-02-16,43.46875,23.85601806640625
1993-02-17,43.4375,23.838842391967773
1993-02-18,43.40625,23.821704864501953
1993-02-19,43.5625,23.90746307373047
1993-02-22,43.71875,23.99321746826172
1993-02-23,43.6875,23.97605323791504
1993-02-24,44.25,24.28476905822754
1993-02-25,44.34375,24.33621597290039
1993-02-26,44.40625,24.370519638061523
1993-03-01,44.28125,24.301918029785156
1993-03-02,44.9375,24.66208267211914
1993-03-03,45.125,24.76496696472168
1993-03-04,44.875,24.62776756286621
1993-03-05,44.75,24.559175491333008
1993-03-08,45.75,25.10797691345215
1993-03-09,45.59375,25.022232055664062
1993-03-10,45.6875,25.073688507080078
1993-03-11,45.5625,25.00506019592285
1993-03-12,45.09375,24.747821807861328
1993-03-15,45.3125,24.86786460876465
1993-03-16,45.3125,24.86786460876465
1993-03-17,45.03125,24.713523864746094
1993-03-18,45.3125,24.86786460876465
1993-03-19,45.03125,24.830249786376953
1993-03-22,44.78125,24.6923828125
1993-03-23,44.875,24.74408531188965
1993-03-24,44.875,24.74408531188965
1993-03-25,45.15625,24.899150848388672
1993-03-26,44.90625,24.761316299438477
1993-03-29,45.09375,24.864694595336914
1993-03-30,45.21875,24.933631896972656
1993-03-31,45.1875,24.91638946533203
1993-04-01,45.03125,24.830249786376953
1993-04-02,44.09375,24.31329917907715
1993-04-05,44.3125,24.43391990661621
1993-04-06,44.1875,24.36498260498047
1993-04-07,44.34375,24.451141357421875
1993-04-08,44.28125,24.416685104370117
1993-04-12,44.90625,24.761316299438477
