"# source=Yahoo Finance chart API v8 symbol=QQQ collected=2026-09-12 basis=close(price),adjclose(total return incl. dividends)"
date,close,adjclose
1999-03-10,51.0625,43.02704620361328
1999-03-11,51.3125,43.23772048950195
1999-03-12,50.0625,42.18442153930664
1999-03-15,51.5,43.39569854736328
1999-03-16,51.9375,43.76435089111328
1999-03-17,51.5625,43.4483642578125
1999-03-18,52.5625,44.290992736816406
1999-03-19,51.21875,43.15870666503906
1999-03-22,50.59375,42.63206100463867
1999-03-23,48.8125,41.13111877441406
1999-03-24,50.46875,42.526737213134766
1999-03-25,52.3125,44.080352783203125
1999-03-26,51.75,43.606361389160156
1999-03-29,53.625,45.186302185058594
1999-03-30,53.25,44.87031936645508
1999-03-31,52.46875,44.212005615234375
1999-04-01,53.5625,45.13364028930664
1999-04-05,55.5,46.76625061035156
1999-04-06,55.609375,46.858421325683594
1999-04-07,55.03125,46.371273040771484
1999-04-08,55.46875,46.73991394042969
1999-04-09,55.8125,47.02956771850586
1999-04-12,55.4375,46.713584899902344
1999-04-13,54.6875,46.081607818603516
1999-04-14,52.8125,44.501678466796875
1999-04-15,53.53125,45.1072998046875
1999-04-16,51.96875,43.790687561035156
1999-04-19,49.53125,41.73676681518555
1999-04-20,50.65625,42.684749603271484
1999-04-21,53.15625,44.79132080078125
1999-04-22,54.59375,46.00261306762695
1999-04-23,55.3125,46.608253479003906
1999-04-26,56.5859375,47.68130874633789
1999-04-27,55.71875,46.95055389404297
1999-04-28,53.8125,45.34429931640625
1999-04-29,53.375,44.97563934326172
1999-04-30,53.71875,45.26530838012695
1999-05-03,53.4375,45.028324127197266
1999-05-04,52.59375,44.31736373901367
1999-05-05,54.1875,45.66027069091797
1999-05-06,52.21875,44.00133514404297
1999-05-07,52.96875,44.633331298828125
1999-05-10,53.5,45.08097457885742
1999-05-11,54.34375,45.79195785522461
1999-05-12,55.46875,46.73991394042969
1999-05-13,54.4375,45.87095260620117
1999-05-14,53.40625,45.001983642578125
1999-05-17,54.3671875,45.81169509887695
1999-05-18,54.125,45.60761260986328
1999-05-19,54.875,46.239601135253906
1999-05-20,53.3671875,44.96907043457031
1999-05-21,52.875,44.55432891845703
1999-05-24,51.53125,43.42204666137695
1999-05-25,49.84375,42.00011444091797
1999-05-26,51.234375,43.17189407348633
1999-05-27,51.1875,43.132381439208984
1999-05-28,52.03125,43.843345642089844
1999-06-01,50.875,42.86906051635742
1999-06-02,51.734375,43.593204498291016
1999-06-03,51.0,42.97438430786133
1999-06-04,52.5625,44.290992736816406
1999-06-07,53.65625,45.2126350402832
1999-06-08,52.3125,44.080352783203125
1999-06-09,53.1875,44.81766128540039
1999-06-10,52.578125,44.30417251586914
1999-06-11,51.78125,43.6326904296875
1999-06-14,50.8046875,42.80982208251953
1999-06-15,51.5625,43.4483642578125
1999-06-16,54.2109375,45.6800422668457
1999-06-17,54.8125,46.18695068359375
1999-06-18,55.0625,46.3975944519043
1999-06-21,56.7109375,47.786624908447266
1999-06-22,55.0,46.344940185546875
1999-06-23,55.8671875,47.075653076171875
1999-06-24,54.7578125,46.1408576965332
1999-06-25,54.6875,46.081607818603516
1999-06-28,55.984375,47.174400329589844
1999-06-29,56.75,47.81953430175781
1999-06-30,57.625,48.55683898925781
1999-07-01,58.015625,48.88599395751953
1999-07-02,58.75,49.50480651855469
1999-07-06,58.375,49.1888313293457
1999-07-07,58.46875,49.26781463623047
1999-07-08,59.25,49.9261360168457
1999-07-09,59.84375,50.42643737792969
1999-07-12,59.53125,50.16312026977539
1999-07-13,59.25,49.9261360168457
1999-07-14,60.2578125,50.775333404541016
1999-07-15,60.8125,51.242733001708984
1999-07-16,61.375,51.71673583984375
1999-07-19,60.75,51.1900634765625
1999-07-20,58.40625,49.21515655517578
1999-07-21,58.6875,49.4521369934082
1999-07-22,57.1953125,48.19478225708008
1999-07-23,57.28125,48.26717758178711
1999-07-26,55.875,47.082244873046875
1999-07-27,57.0,48.03019332885742
1999-07-28,58.1171875,48.971580505371094
1999-07-29,56.875,47.92486572265625
1999-07-30,56.59375,47.68788146972656
1999-08-02,56.4375,47.55622863769531
1999-08-03,56.0703125,47.24681091308594
1999-08-04,55.0546875,46.3909797668457
1999-08-05,55.9296875,47.128318786621094
1999-08-06,55.328125,46.62141418457031
1999-08-09,54.6171875,46.02236557006836
