code,name,market,pivot_date,prior_q1,prior_q2,rs_score,eps_yoy_q1_pct,eps_yoy_q2_pct,eps_accelerating,sales_yoy_q1_pct,per_at_pivot_approx,pbr_at_pivot_approx,psr_at_pivot_approx,market_cap_at_pivot_eok,largest_holder_pct,cfps_fy,share_dilution_1y_pct,market_regime_at_pivot,krw_at_pivot,foreign_foreign_pct_at_pivot,foreign_change_pp,pivot_vs_prior_52w_high_pct,pivot_volume_vs_50d_avg,base_len_days,base_depth_pct,prior_uptrend_pct,induty_code,sector_group_winner_count,years_since_establishment
383800,LX홀딩스,KOSPI,2025-04-09,202412,202409,67,42.0,158.0,False,0.1,2.9,0.23,11.25,4576.8,43.82,461.2,0.0,하락추세,1486.1,10.8,1.33,82.4,0.89,16,10.3,None,64992,4,4
009300,삼아제약,KOSDAQ,2026-03-04,202512,202509,44,-5.9,-102.6,False,5.8,7.1,0.4,1.23,960.0,65.58,1683.4,0.0,중립,1483.1,1.29,-1.07,79.1,3.27,4,4.1,None,212,6,53
067830,세이브존I&C,KOSPI,2025-09-17,202506,202503,76,-21.3,-31.2,False,-2.2,9.4,0.2,0.94,1081.4,52.72,-7.9,0.0,상승추세,1377.6,8.62,0.15,89.3,1.61,2,0.2,48.0,47111,3,23
044180,KD,KOSDAQ,2026-03-23,202512,202509,3,-425.8,36.7,False,-88.5,N/A(적자),0.39,0.2,54.8,26.34,-438.0,0.0,상승추세,1504.2,5.22,3.85,16.0,1.35,24,39.6,None,411,4,52
254490,미래반도체,KOSDAQ,2026-04-24,202512,202509,75,496.4,57.1,False,54.5,20.5,2.63,0.46,2894.8,73.55,-1850.1,0.0,상승추세,1479.9,2.27,1.82,92.8,1.93,1,0.0,108.9,467,1,30
176750,듀켐바이오,KOSDAQ,2025-01-23,202409,202406,83,None,None,False,None,N/A(이력부족),4.24,None,2094.3,None,None,5.29,하락추세,1434.3,0.16,0.16,37.8,0.21,23,43.1,None,212,6,23
077970,STX엔진,KOSPI,2025-07-07,202503,202412,77,3575.0,-37.2,False,20.5,14.5,2.38,1.09,8150.1,72.89,914.4,74.49,상승추세,1362.2,2.97,2.97,67.7,0.26,14,18.7,57.8,29111,4,21
037710,광주신세계,KOSPI,2025-11-24,202509,202506,57,-9.2,-19.5,False,-3.9,5.7,0.27,1.32,2426.9,62.84,9675.0,0.0,상승추세,1467.7,5.42,-5.1,87.5,1.27,7,3.0,21.3,47111,3,30
263020,디케이앤디,KOSDAQ,2026-03-04,202512,202509,30,38.8,146.9,False,15.0,4.7,0.48,0.26,372.2,32.4,297.2,-4.58,중립,1483.1,3.98,0.29,80.5,2.09,15,4.4,None,22214,1,26
406820,뷰티스킨,KOSDAQ,2026-04-07,202512,202509,5,138.0,82.3,True,-36.5,N/A(적자),0.77,0.46,250.5,43.25,43.1,300.0,중립,1507.8,4.81,4.05,25.9,0.53,24,22.9,None,20423,3,15
