code,name,market,pivot_date,prior_q1,prior_q2,rs_score,eps_yoy_q1_pct,eps_yoy_q2_pct,eps_accelerating,sales_yoy_q1_pct,per_at_pivot_approx,pbr_at_pivot_approx,psr_at_pivot_approx,market_cap_at_pivot_eok,largest_holder_pct,cfps_fy,share_dilution_1y_pct,market_regime_at_pivot,krw_at_pivot,foreign_foreign_pct_at_pivot,foreign_change_pp,pivot_vs_prior_52w_high_pct,pivot_volume_vs_50d_avg,base_len_days,base_depth_pct,prior_uptrend_pct,induty_code,sector_group_winner_count,years_since_establishment
063170,서울옥션,KOSDAQ,2021-01-04,202009,202006,57,117.0,76.0,True,-34.0,N/A(적자),1.22,3.55,1202.8,35.05,-64.6,0.0,상승추세,1084.7,3.6,1.36,85.4,0.61,13,11.5,171.7,461,1,23
100790,미래에셋벤처투자,KOSDAQ,2020-11-12,202006,202003,60,None,None,False,None,N/A(이력부족),0.5,None,1653.8,63.69,None,50.0,중립,1111.4,0.9,0.32,91.6,3.61,22,8.3,131.3,649,6,21
013360,일성건설,KOSPI,2021-03-16,202012,202009,46,128.6,-15.4,False,-5.1,23.4,1.02,0.22,745.5,63.88,568.6,0.0,중립,1131.4,63.92,-1.36,90.8,0.56,17,10.0,144.5,41221,4,43
101160,월덱스,KOSDAQ,2020-04-29,201912,201909,88,-26.5,2.5,False,8.5,5.8,0.33,0.97,1137.6,35.75,1698.8,0.0,중립,1220.4,2.53,-1.09,77.9,1.11,12,6.8,40.1,262,8,20
001430,세아베스틸지주,KOSPI,2020-11-10,202006,202003,5,-106.0,43.6,False,-28.1,31.4,0.19,0.14,3640.0,65.9,9017.8,0.0,상승추세,1118.7,9.22,0.2,59.9,2.39,13,7.4,85.6,2411,6,65
041930,SY동아,KOSDAQ,2020-03-24,201912,201909,46,76.5,-15.3,False,15.2,4.1,0.22,0.15,437.7,42.41,1086.2,0.0,하락추세,1262.9,0.86,-0.19,35.8,0.63,23,52.5,None,2219,1,46
225220,제놀루션,KOSDAQ,2020-03-19,201912,201909,98,None,None,False,None,N/A(이력부족),0.44,None,318.0,35.21,None,None,하락추세,1255.3,0.0,0.0,74.4,4.36,6,11.6,None,211,4,14
007280,한국특강,KOSPI,2020-03-30,201912,201909,61,-360.5,-106.2,False,-17.0,N/A(적자),0.37,0.23,902.7,44.67,100.3,0.0,하락추세,1211.6,0.45,-0.76,64.6,6.2,23,51.1,None,24121,6,49
189980,흥국에프엔비,KOSDAQ,2020-12-03,202009,202006,28,-38.2,1.6,False,-8.8,N/A(적자),0.69,1.32,666.0,50.71,256.4,4.58,상승추세,1099.4,1.25,0.49,84.8,29.68,9,2.4,97.0,11209,1,12
293580,나우IB,KOSDAQ,2020-03-23,201912,201909,47,None,None,False,None,N/A(이력부족),0.24,None,24.6,72.59,None,0.0,하락추세,1253.9,1.73,1.63,46.2,0.24,24,44.2,None,64919,6,13
