code,name,market,pivot_date,prior_q1,prior_q2,rs_score,eps_yoy_q1_pct,eps_yoy_q2_pct,eps_accelerating,sales_yoy_q1_pct,per_at_pivot_approx,pbr_at_pivot_approx,psr_at_pivot_approx,market_cap_at_pivot_eok,largest_holder_pct,cfps_fy,share_dilution_1y_pct,market_regime_at_pivot,krw_at_pivot,foreign_foreign_pct_at_pivot,foreign_change_pp,pivot_vs_prior_52w_high_pct,pivot_volume_vs_50d_avg,base_len_days,base_depth_pct,prior_uptrend_pct,induty_code,sector_group_winner_count,years_since_establishment
004960,한신공영,KOSPI,2025-11-25,202509,202506,75,758.4,-80.4,False,-22.8,7.2,0.12,0.07,967.3,None,11629.1,0.0,상승추세,1474.9,4.73,0.41,93.1,1.19,21,12.2,43.4,41112,None,58
025620,차AI헬스케어,KOSPI,2025-03-25,202412,202409,14,-38.5,-118.5,False,-59.7,N/A(적자),0.82,0.92,152.5,26.05,-1541.5,0.0,중립,1466.3,0.0,0.0,35.5,2.58,19,15.5,None,204,None,53
145720,덴티움,KOSPI,2026-01-16,202509,202506,13,-88.7,-76.8,False,-17.4,9.5,0.71,1.44,5113.8,18.95,3294.3,0.0,상승추세,1468.8,13.63,-1.96,58.5,0.51,24,12.2,None,27191,None,26
126730,코칩,KOSDAQ,2025-11-21,202509,202506,58,233.3,-12.2,True,42.7,26.6,1.68,2.76,1005.1,65.69,517.1,0.0,중립,1473.2,1.87,1.81,66.0,0.09,18,18.4,83.6,2629,None,31
095270,웨이브일렉트로,KOSDAQ,2026-01-15,202509,202506,61,158.7,52.4,True,15.2,N/A(적자),1.08,0.83,661.1,20.11,447.3,-4.0,상승추세,1462.9,2.65,2.1,64.5,1.22,3,5.2,44.5,272,None,27
079370,제우스,KOSDAQ,2024-12-10,202409,202406,47,168.3,477.6,False,23.3,7.3,0.97,0.72,3275.4,39.81,-1263.7,200.0,하락추세,1426.6,1.65,-1.94,46.5,0.58,24,22.3,None,29271,None,36
044960,이글벳,KOSDAQ,2026-03-04,202512,202509,30,24.3,128.2,False,-27.7,11.6,0.88,271.41,469.6,38.4,435.5,0.0,중립,1483.1,0.99,0.9,75.8,1.58,8,8.4,None,467,None,43
020400,대동금속,KOSDAQ,2026-02-02,202509,202506,15,84.3,103.0,False,22.6,N/A(적자),0.4,0.08,86.9,52.8,-1019.6,0.0,상승추세,1448.8,1.19,-0.01,71.4,0.45,22,3.1,None,24312,None,39
025890,한국주강,KOSPI,2026-03-04,202512,202509,35,-131.8,None,False,-34.8,N/A(적자),0.51,0.43,172.0,56.98,179.1,0.0,상승추세,1483.1,3.79,0.41,68.7,0.43,18,10.8,None,292,None,39
396300,세아메카닉스,KOSDAQ,2025-11-24,202509,202506,37,246.8,-310.5,False,-4.7,53.2,0.9,0.81,671.5,None,146.6,0.0,중립,1467.7,5.65,5.57,62.9,0.14,20,29.9,84.0,259,None,26
012320,경동인베스트,KOSPI,2025-11-26,202509,202506,11,8.7,-94.8,False,3.9,5.0,0.22,5.75,1203.8,52.65,9994.0,0.0,상승추세,1464.9,3.48,2.14,68.2,0.28,24,12.4,None,649,None,48
005250,녹십자홀딩스,KOSPI,2025-04-09,202412,202409,38,900.4,87.1,True,4.3,23.5,0.61,0.26,5681.0,48.97,-1912.6,0.0,하락추세,1486.1,9.47,1.6,68.1,2.44,23,9.6,None,715,None,58
025320,시노펙스,KOSDAQ,2025-11-07,202506,202503,46,-53.7,-26.7,False,21.3,22.2,3.02,2.01,4954.8,11.61,426.7,4.67,상승추세,1447.9,1.26,-4.8,73.5,1.48,19,14.1,47.8,2629,None,40
067000,조이시티,KOSDAQ,2025-11-17,202509,202506,44,-325.0,-109.7,False,-22.1,N/A(적자),1.25,0.87,1087.0,35.26,75.2,0.0,상승추세,1446.5,3.04,1.57,60.0,0.86,14,20.1,44.9,5821,None,31
032280,삼일,KOSDAQ,2026-03-04,202512,202509,13,-700.0,0.0,False,-5.3,21.4,0.32,0.22,215.3,35.37,159.8,0.0,중립,1483.1,2.15,1.32,43.0,1.96,3,4.4,None,49309,None,51
044450,KSS해운,KOSPI,2026-01-22,202509,202506,46,488.9,-131.9,False,8.4,3.6,0.36,0.37,2017.7,29.92,5167.1,0.0,상승추세,1464.8,7.76,1.17,81.1,1.62,22,10.1,16.4,50112,None,42
032940,원익,KOSDAQ,2025-04-01,202412,202409,67,328.4,96.7,False,-0.3,3.0,0.22,0.46,636.8,46.53,549.5,0.0,하락추세,1472.0,2.82,1.38,54.7,0.13,17,12.0,30.2,4659,None,42
117580,대성에너지,KOSPI,2025-12-04,202509,202506,23,24.2,141.5,False,-6.5,8.2,0.64,0.22,2246.8,72.73,1650.3,0.0,상승추세,1465.0,0.0,0.0,78.9,0.53,14,3.7,13.4,35200,None,16
003280,흥아해운,KOSPI,2026-01-02,202509,202506,40,-100.0,-12.9,False,-15.5,13.9,1.5,2.09,3822.8,70.71,196.6,0.0,상승추세,1443.6,1.53,0.01,69.4,0.14,19,6.2,17.5,50112,None,65
013520,화승코퍼레이션,KOSPI,2025-02-19,202412,202409,24,90.7,-106.8,False,18.7,2.6,0.26,0.05,786.3,44.69,344.8,0.0,중립,1440.1,1.32,-1.62,66.0,1.1,20,6.8,10.1,303,None,47
063160,종근당바이오,KOSPI,2026-04-07,202512,202509,29,-195.3,-863.5,False,34.4,N/A(적자),0.8,0.63,1013.3,39.16,-755.2,0.0,상승추세,1507.8,0.84,-0.97,76.0,0.33,24,7.3,None,212,None,25
163280,에어레인,KOSDAQ,2024-12-12,202409,202406,1,None,None,False,None,N/A(이력부족),1.1,None,456.6,None,None,None,하락추세,1429.2,0.43,0.4,63.5,1.64,23,46.3,None,29175,None,23
014910,성문전자,KOSPI,2025-10-15,202506,202503,43,-92.9,110.5,False,7.1,12.3,0.57,0.51,261.7,24.99,197.0,0.0,상승추세,1429.4,1.0,-0.02,91.0,1.04,23,4.4,20.1,26291,None,45
002600,조흥,KOSPI,2026-04-02,202512,202509,27,113.3,-71.7,False,5.3,10.5,0.56,0.17,850.8,67.2,17640.0,0.0,중립,1512.1,0.03,0.03,85.5,2.17,22,9.2,None,108,None,67
