code,name,market,pivot_date,prior_q1,prior_q2,rs_score,eps_yoy_q1_pct,eps_yoy_q2_pct,eps_accelerating,sales_yoy_q1_pct,per_at_pivot_approx,pbr_at_pivot_approx,psr_at_pivot_approx,market_cap_at_pivot_eok,largest_holder_pct,cfps_fy,share_dilution_1y_pct,market_regime_at_pivot,krw_at_pivot,foreign_foreign_pct_at_pivot,foreign_change_pp,pivot_vs_prior_52w_high_pct,pivot_volume_vs_50d_avg,base_len_days,base_depth_pct,prior_uptrend_pct,induty_code,sector_group_winner_count,years_since_establishment
475580,에이럭스,KOSDAQ,2025-12-16,202509,202506,27,-56.1,-221.7,False,13.9,N/A(적자),2.69,2.17,1248.0,43.29,97.6,2.05,상승추세,1467.5,1.9,1.8,55.7,0.32,23,18.3,None,33999,None,10
025860,남해화학,KOSPI,2026-02-02,202509,202506,49,3450.0,11.2,True,11.3,8.9,0.58,0.21,3288.7,None,2421.2,0.0,상승추세,1448.8,3.55,-0.06,82.0,2.21,1,0.0,14.5,20312,None,52
121890,에스디시스템,KOSDAQ,2026-02-06,202509,202506,52,119.2,150.0,False,49.0,N/A(적자),1.68,0.88,200.7,34.88,151.4,0.0,상승추세,1470.7,13.14,11.7,76.6,2.2,21,11.9,59.6,2629,None,25
464500,아이언디바이스,KOSDAQ,2025-11-03,202506,202503,3,-98.2,11.8,False,-56.2,N/A(적자),1.71,7.81,454.5,39.91,-188.4,2.27,상승추세,1427.2,4.03,3.79,52.5,0.08,21,23.1,57.9,26112,None,17
004090,한국석유,KOSPI,2025-12-02,202509,202506,36,-80.0,31.4,False,-2.1,22.1,0.89,0.26,1817.8,49.39,1034.9,0.0,상승추세,1470.2,3.61,2.2,70.5,0.83,0,0.0,31.4,23999,None,61
192650,드림텍,KOSPI,2025-10-31,202506,202503,14,-155.0,-76.8,False,9.3,N/A(적자),1.13,0.35,4409.0,42.59,643.6,0.0,상승추세,1424.0,57.95,0.42,70.9,1.2,24,7.9,17.0,2629,None,27
00499K,롯데지주우,KOSPI,2025-04-09,202412,202409,38,None,None,False,None,N/A(이력부족),0.31,None,194.5,None,None,None,하락추세,1486.1,0.38,0.25,67.5,1.13,8,7.1,None,None,None,None
264900,크라운제과,KOSPI,2025-04-09,202412,202409,74,-81.9,-37.1,False,3.8,6.0,0.44,0.22,978.1,61.68,2680.5,0.0,하락추세,1486.1,2.31,0.34,70.1,2.13,11,3.7,9.0,106,None,8
022100,포스코DX,KOSPI,2025-11-25,202509,202506,38,-19.7,-29.3,False,-23.2,48.6,6.29,3.05,35880.2,65.38,643.3,0.0,상승추세,1474.9,3.67,-2.62,79.3,0.45,15,19.7,66.1,72129,None,36
031430,신세계인터내셔날,KOSPI,2025-04-14,202412,202409,13,-104.2,101.4,False,-2.6,10.1,0.39,0.25,3301.0,54.05,735.6,-1.0,하락추세,1419.1,6.47,2.19,51.1,0.43,19,14.5,None,4741,None,45
