code,name,market,pivot_date,prior_q1,prior_q2,rs_score,eps_yoy_q1_pct,eps_yoy_q2_pct,eps_accelerating,sales_yoy_q1_pct,per_at_pivot_approx,pbr_at_pivot_approx,psr_at_pivot_approx,market_cap_at_pivot_eok,largest_holder_pct,cfps_fy,share_dilution_1y_pct,market_regime_at_pivot,krw_at_pivot,foreign_foreign_pct_at_pivot,foreign_change_pp,pivot_vs_prior_52w_high_pct,pivot_volume_vs_50d_avg,base_len_days,base_depth_pct,prior_uptrend_pct,induty_code,sector_group_winner_count,years_since_establishment
071850,캐스텍코리아,KOSDAQ,2025-03-31,202412,202409,22,83.4,-88.9,False,9.0,N/A(적자),0.63,0.22,350.1,17.19,226.1,46.42,하락추세,1469.4,0.47,-13.06,57.7,0.43,21,13.0,None,303,None,27
006360,GS건설,KOSPI,2026-01-21,202509,202506,49,-24.2,-333.1,False,3.2,75.9,0.33,0.12,15849.7,23.64,3129.3,0.0,상승추세,1477.8,24.17,-0.21,76.7,1.76,24,9.1,28.9,4111,None,57
010580,에스엠벡셀,KOSPI,2025-07-24,202503,202412,79,-12.5,105.5,False,5.8,202.8,2.57,1.03,1804.5,86.09,2.1,0.0,상승추세,1373.7,0.54,0.13,90.3,0.13,20,11.2,116.2,303,None,50
089030,테크윙,KOSDAQ,2025-08-01,202503,202412,6,84.0,-402.9,False,-14.3,N/A(적자),4.43,5.54,9954.7,13.58,876.0,0.0,중립,1391.5,9.47,-5.29,48.9,0.71,23,16.7,None,29271,None,23
230360,에코마케팅,KOSDAQ,2025-05-19,202503,202412,16,-55.0,-51.7,False,17.1,9.3,1.09,0.7,2570.9,45.22,551.0,-1.87,하락추세,1398.1,11.15,3.18,56.5,0.51,3,5.3,13.5,71310,None,22
900100,애머릿지,KOSDAQ,2026-04-08,202512,202509,1,50.0,50.0,False,-67.3,N/A(적자),0.36,2927.11,130.5,13.41,-0.1,None,중립,1499.1,9.95,-1.77,20.1,6.29,16,21.6,None,452,None,48
002620,제일파마홀딩스,KOSPI,2025-04-09,202412,202409,33,-35.8,-741.2,True,0.5,N/A(적자),0.35,0.15,1153.3,73.16,284.4,0.0,하락추세,1486.1,9.8,0.1,63.9,0.18,15,14.7,11.4,715,None,66
054920,한컴위드,KOSDAQ,2025-04-11,202412,202409,48,-7.8,295.0,False,-11.4,N/A(적자),0.46,0.17,746.3,29.91,67.3,0.0,하락추세,1452.0,3.31,0.73,73.7,0.4,18,11.6,None,58221,None,26
294090,이오플로우,KOSDAQ,2025-03-21,202412,202409,2,2.6,-19.3,False,-72.3,N/A(적자),-0.42,10.27,516.9,9.65,-1201.5,14.06,하락추세,1465.8,7.94,-15.48,9.2,0.67,22,51.7,None,27199,None,14
002920,유성기업,KOSPI,2025-04-15,202412,202409,27,75.3,-212.9,False,6.5,N/A(적자),0.19,0.15,481.8,48.78,1433.3,0.0,하락추세,1419.4,10.16,-0.04,66.1,0.15,0,0.0,5.6,303,None,65
094280,효성ITX,KOSPI,2025-04-11,202412,202409,69,-26.6,-26.7,False,2.5,11.7,1.84,0.26,1340.8,67.91,3035.9,0.0,하락추세,1452.0,0.95,0.57,82.6,1.22,10,2.6,None,759,None,28
035150,백산,KOSPI,2026-05-12,202512,202509,20,-72.6,-32.2,False,-14.4,7.0,0.87,0.44,2211.2,59.53,1917.0,-5.75,상승추세,1474.4,5.32,-1.22,70.5,2.09,14,11.1,None,22214,None,40
086060,진바이오텍,KOSDAQ,2025-04-03,202412,202409,42,78.7,16.7,True,12.6,9.1,0.48,0.32,262.2,28.64,-53.9,0.0,하락추세,1466.0,2.63,-2.18,72.5,6.41,24,6.7,None,462,None,25
092190,서울바이오시스,KOSDAQ,2026-04-15,202512,202509,60,162.9,-7500.0,False,23.2,N/A(적자),2.44,0.25,1926.5,66.69,1751.4,0.0,상승추세,1469.4,0.0,0.0,80.9,1.49,23,19.4,81.9,2612,None,24
070300,엑스큐어,KOSDAQ,2026-01-16,202509,202506,9,172.2,-22.2,False,135.5,N/A(적자),1.11,None,354.3,22.93,-194.8,134.75,상승추세,1468.8,7.84,-8.4,30.4,0.51,7,17.5,58.1,58222,None,26
289010,아이스크림에듀,KOSDAQ,2026-03-04,202512,202509,13,174.4,-196.6,False,-13.3,N/A(적자),0.47,0.22,200.8,37.08,693.6,8.4,중립,1483.1,3.46,2.99,23.3,1.74,22,5.7,None,58190,None,13
084690,대상홀딩스,KOSPI,2025-01-07,202409,202406,42,510.9,-72.8,False,-1.2,14.4,0.6,0.07,3624.9,None,8903.0,0.0,하락추세,1459.4,5.59,0.22,75.1,0.12,16,14.5,37.4,64992,None,20
089600,KT나스미디어,KOSDAQ,2026-04-07,202512,202509,19,104.9,-7.3,True,-45.6,10.1,0.63,1.11,1309.5,43.43,3050.6,0.0,중립,1507.8,5.64,1.07,63.3,0.29,24,6.2,None,71310,None,26
106520,노블엠앤비,KOSDAQ,2024-12-03,202409,202406,74,62.2,12.3,False,5.8,N/A(적자),0.9,4.43,159.0,13.05,-125.1,0.0,하락추세,1401.1,3.96,-0.2,100.0,None,0,0.0,None,273,None,24
095660,네오위즈,KOSDAQ,2025-02-03,202409,202406,37,-92.3,-65.4,False,-20.7,11.8,0.67,1.02,3934.2,37.23,2962.0,-0.8,하락추세,1456.8,10.45,3.13,67.0,0.99,24,6.9,None,5821,None,18
038010,제일테크노스,KOSDAQ,2025-04-09,202412,202409,50,-22.0,-47.1,False,-51.0,2.2,0.33,0.28,505.8,43.97,3274.7,0.0,하락추세,1486.1,1.79,0.19,62.0,0.89,23,13.6,18.6,2511,None,54
