시작 전 여유 3.301 GB
명령: python scripts/backtest_volatility_pilot_us.py --market us --start 2021-02-01 --end 2026-08-21 --out .cache/bt5y/sub/us_full.json
설정: 관문임박=off · 진입상태=['actionable']
Sharadar 적재 2020-09-14~2027-06-17 (variant=base) …
  일자 1492일 · 거래대금 시계열 5759종목
  유니버스 등장 5759종목 · 시계열 보유 5759종목
스캔일 1396개 (2021-02-01~2026-08-21, step 1)
  2021-10-25: 평가 3720 · 후보 88 · 진입 10 (누적 555)
  2021-10-26: 평가 3722 · 후보 97 · 진입 4 (누적 559)
  2021-10-27: 평가 3721 · 후보 69 · 진입 4 (누적 563)
  2021-10-28: 평가 3722 · 후보 75 · 진입 12 (누적 575)
  2021-10-29: 평가 3719 · 후보 78 · 진입 15 (누적 590)
  2021-11-01: 평가 3720 · 후보 59 · 진입 7 (누적 597)
  2021-11-02: 평가 3725 · 후보 64 · 진입 9 (누적 606)
  2021-11-03: 평가 3724 · 후보 45 · 진입 6 (누적 612)
  2021-11-04: 평가 3731 · 후보 50 · 진입 6 (누적 618)
  2021-11-05: 평가 3732 · 후보 33 · 진입 6 (누적 624)
  2021-11-08: 평가 3733 · 후보 50 · 진입 6 (누적 630)
  2021-11-09: 평가 3741 · 후보 45 · 진입 6 (누적 636)
  2021-11-10: 평가 3742 · 후보 37 · 진입 4 (누적 640)
  2021-11-11: 평가 3751 · 후보 47 · 진입 6 (누적 646)
  2021-11-12: 평가 3747 · 후보 65 · 진입 4 (누적 650)
  2021-11-15: 평가 3743 · 후보 66 · 진입 7 (누적 657)
  2021-11-16: 평가 3745 · 후보 58 · 진입 4 (누적 661)
  2021-11-17: 평가 3751 · 후보 65 · 진입 6 (누적 667)
  2021-11-18: 평가 3761 · 후보 53 · 진입 5 (누적 672)
  2021-11-19: 평가 3761 · 후보 54 · 진입 6 (누적 678)
  2021-11-22: 평가 3771 · 후보 43 · 진입 3 (누적 681)
  2021-11-23: 평가 3773 · 후보 38 · 진입 2 (누적 683)
  2021-11-24: 평가 3776 · 후보 49 · 진입 1 (누적 684)
  2021-11-26: 평가 3779 · 후보 33 · 진입 3 (누적 687)
  2021-11-29: 평가 3771 · 후보 32 · 진입 2 (누적 689)
  2021-11-30: 평가 3774 · 후보 25 · 진입 6 (누적 695)
  2021-12-01: 평가 3769 · 후보 9 · 진입 0 (누적 695)
  2021-12-02: 평가 3767 · 후보 18 · 진입 0 (누적 695)
  2021-12-03: 평가 3762 · 후보 13 · 진입 2 (누적 697)
  2021-12-06: 평가 3762 · 후보 20 · 진입 8 (누적 705)
  2021-12-07: 평가 3766 · 후보 22 · 진입 6 (누적 711)
  2021-12-08: 평가 3757 · 후보 19 · 진입 2 (누적 713)
  2021-12-09: 평가 3760 · 후보 29 · 진입 4 (누적 717)
  2021-12-10: 평가 3757 · 후보 52 · 진입 2 (누적 719)
